label,Year,Month,include,freq,fixfreq,freqerr,Amp noise level,amp,fixamp,amperr,phase,brute,fixphase,phaseerr,Multiplet Freq,Multiplet Difference,Combination Difference,Combination Sum,Periods
f8193,2013,0,,803.2858,,0.0374,0,2.1232,,0.21304,,,,,,,,,1244.886938
f0614,1989,10,TRUE,805.7562085,FALSE,0.044815264,1.792425168,2.315780831,FALSE,0.225070226,0.694650927,FALSE,FALSE,0.015463631,,,,,
f6055,1993,9,,806.52,,,0,1.9,,,,,,,,,,,1239.895
f3318,1993,11,TRUE,810.3916994,FALSE,0.233682326,3.717362656,3.722929048,FALSE,0.47428622,0.121571359,FALSE,FALSE,0.020368199,,,,,
f8170,2013,0,,822.0452,,0.0286,0,2.6043,,0.2126,,,,,,,,,1216.478121
f0110,1985,9,TRUE,854.3923118,FALSE,0.221048471,3.93177497,5.531410605,FALSE,0.814195081,0.230534759,FALSE,FALSE,0.023506926,,,,,
f1109,1988,10,,860.5163,,0.2239,0,1.431,,,,,,,,,,,1162.093036
f1011,1988,12,,870.3059,,0.0071,0,2.768,,,,,,,,,,,1149.021281
f6056,1993,9,,871.884,,,0,3.7,,,,,,,,,,,1146.942
f1110,1988,10,,878.5084,,0.3968,0,0.69757,,,,,,,,,,,1138.293043
f9220,2022,9,TRUE,894.4865875,FALSE,0.020681089,0.664442269,0.746133105,FALSE,0.069236308,0.136736461,FALSE,FALSE,0.014772936,,,,,
f1012,1988,12,,901.2407,,0.0096,0,2.2561,,,,,,,,,,,1109.581491
f3314,1993,11,TRUE,903.9684985,FALSE,0.137045761,3.717362656,6.361177875,FALSE,0.476465098,0.239217226,FALSE,FALSE,0.011951641,,,,,
f4120,2003,0,TRUE,919.2669175,FALSE,0.042772626,2.283799702,3.289517721,FALSE,0.327115177,0.910992122,FALSE,FALSE,0.015841252,,,,,
f0629,1989,10,TRUE,925.6618698,FALSE,0.050340593,1.792425168,2.067711424,FALSE,0.224908664,0.198133369,FALSE,FALSE,0.017453576,,,,,
f1013,1988,12,,939.5149,,0.0079,0,3.0993,,,,,,,,,,,1064.379075
f8180,2013,0,,955.4277,,0.0325,0,2.4501,,0.21891,,,,,f8179,8.102,,,1046.651672
f8179,2013,0,,963.5297,,0.0318,0,2.5018,,0.21789,,,,,"f8166, f8180","9.29809999999997, 8.10200000000009",,,1037.850727
f8166,2013,0,,972.8278,,0.0263,0,2.9627,,0.2191,,,,,f8179,9.2981,,,1027.931151
f1014,1988,12,,975.0835,,0.0088,0,2.5057,,,,,,,,,,,1025.553196
f0404,1989,12,TRUE,976.4439213,FALSE,0.034215396,2.763154899,9.014925807,FALSE,0.356619699,0.577681758,FALSE,FALSE,0.006274566,,,,,
f0309,1989,8,TRUE,1006.528125,FALSE,0.059241043,1.81786994,2.045091178,FALSE,0.257000957,0.524824485,FALSE,FALSE,0.020574452,,,,,
f9222,2022,9,TRUE,1006.626502,FALSE,0.018073736,0.664442269,0.855618414,FALSE,0.069324158,0.540290372,FALSE,FALSE,0.012900953,f9221,6.37355901,,,
f8144,2013,0,,1008.3352,,0.018,0,4.7903,,0.24108,,,,,f8138,0.5974,,,991.7337013
f8138,2013,0,,1008.9326,,0.0232,0,3.6081,,0.23964,,,,,f8144,0.5974,,,991.1464849
f0013,1975,0,TRUE,1009.006511,FALSE,8.013524569,4.894468264,6.526132343,FALSE,1.288577707,0.868708417,FALSE,FALSE,0.029180019,,,,,
f9221,2022,9,TRUE,1013.000061,FALSE,0.006829373,0.664442269,2.264262699,FALSE,0.069332447,0.174767655,FALSE,FALSE,0.004874415,f9222,6.37355901,,,
f9003,2018,0,,1013.34,,0.015,0,8.7,,0.5,,,,,,,,,
f0615,1989,10,TRUE,1022.344787,FALSE,0.048378736,1.792425168,2.174180945,FALSE,0.223167004,0.823237929,FALSE,FALSE,0.016665678,,,,,
f8146,2013,0,,1025.6262,,0.0212,0,4.0303,,0.23551,,,,,"f8126, f8191","0.870800000000144, 6.416300000000092",,,975.0140938
